Date,Type,Price,Landsize,BuildingArea,Rooms,Bathroom,Car,YearBuilt,Distance,Regionname,Propertycount
3/9/2016,h,NA,126,NA,2,1,1,NA,2.5,Northern Metropolitan,4019
3/12/2016,h,1480000,202,NA,2,1,1,NA,2.5,Northern Metropolitan,4019
4/2/2016,h,1035000,156,79,2,1,0,1900,2.5,Northern Metropolitan,4019
4/2/2016,u,NA,0,NA,3,2,1,NA,2.5,Northern Metropolitan,4019
4/3/2017,h,1465000,134,150,3,2,0,1900,2.5,Northern Metropolitan,4019
4/3/2017,h,850000,94,NA,3,2,1,NA,2.5,Northern Metropolitan,4019
4/6/2016,h,1600000,120,142,4,1,2,2014,2.5,Northern Metropolitan,4019
6/8/2016,h,NA,400,220,4,2,2,2006,2.5,Northern Metropolitan,4019
6/8/2016,h,NA,201,NA,2,1,2,1900,2.5,Northern Metropolitan,4019
6/8/2016,h,NA,202,NA,2,2,1,1900,2.5,Northern Metropolitan,4019
7/5/2016,h,941000,181,NA,2,1,0,NA,2.5,Northern Metropolitan,4019
7/5/2016,h,1876000,245,210,3,2,0,1910,2.5,Northern Metropolitan,4019
7/11/2016,u,NA,4292,82,2,2,1,2009,2.5,Northern Metropolitan,4019
7/11/2016,h,NA,230,147,4,2,0,1860,2.5,Northern Metropolitan,4019
8/10/2016,h,1636000,256,107,2,1,2,1890,2.5,Northern Metropolitan,4019
8/10/2016,h,1000000,NA,NA,3,NA,NA,NA,2.5,Northern Metropolitan,4019
8/10/2016,t,745000,NA,NA,2,NA,NA,NA,2.5,Northern Metropolitan,4019
8/10/2016,u,300000,0,NA,1,1,1,NA,2.5,Northern Metropolitan,4019
8/10/2016,h,1097000,220,75,2,1,2,1900,2.5,Northern Metropolitan,4019
8/10/2016,u,542000,NA,NA,2,NA,NA,NA,2.5,Northern Metropolitan,4019
10/12/2016,h,NA,176,80,2,1,1,1925,2.5,Northern Metropolitan,4019
10/12/2016,u,760000,NA,NA,2,NA,NA,NA,2.5,Northern Metropolitan,4019
10/12/2016,u,481000,NA,NA,1,NA,NA,NA,2.5,Northern Metropolitan,4019
12/11/2016,u,700000,0,NA,2,2,1,NA,2.5,Northern Metropolitan,4019
12/11/2016,h,1350000,214,190,3,2,2,2005,2.5,Northern Metropolitan,4019
12/11/2016,u,750000,0,94,2,2,1,2009,2.5,Northern Metropolitan,4019
12/11/2016,h,1985000,NA,NA,4,NA,NA,NA,2.5,Northern Metropolitan,4019
12/11/2016,u,500000,NA,NA,1,NA,NA,NA,2.5,Northern Metropolitan,4019
13/08/2016,h,1172500,195,NA,2,1,1,NA,2.5,Northern Metropolitan,4019
14/05/2016,u,441000,0,NA,1,1,1,NA,2.5,Northern Metropolitan,4019
15/10/2016,h,1310000,238,97,2,1,2,1890,2.5,Northern Metropolitan,4019
16/04/2016,u,NA,0,129,3,2,2,2010,2.5,Northern Metropolitan,4019
16/07/2016,h,1200000,113,110,3,2,1,1880,2.5,Northern Metropolitan,4019
16/07/2016,t,847000,NA,NA,2,NA,NA,NA,2.5,Northern Metropolitan,4019
16/07/2016,h,NA,NA,NA,2,NA,NA,NA,2.5,Northern Metropolitan,4019
16/07/2016,h,1176500,138,105,3,1,1,1890,2.5,Northern Metropolitan,4019
17/09/2016,h,955000,183,NA,3,1,0,NA,2.5,Northern Metropolitan,4019
17/09/2016,h,890000,150,73,2,1,1,1985,2.5,Northern Metropolitan,4019
18/03/2017,h,1330000,780,135,4,2,2,1900,2.5,Northern Metropolitan,4019
18/03/2017,h,NA,119,167,3,2,1,2005,2.5,Northern Metropolitan,4019
18/03/2017,t,900000,0,NA,3,2,2,2010,2.5,Northern Metropolitan,4019
18/03/2017,u,1090000,4290,27,3,2,2,NA,2.5,Northern Metropolitan,4019
18/06/2016,u,500000,0,60,2,1,1,1970,2.5,Northern Metropolitan,4019
18/06/2016,h,1100000,124,135,2,2,1,2013,2.5,Northern Metropolitan,4019
19/11/2016,h,1315000,147,85,2,1,0,1900,2.5,Northern Metropolitan,4019
19/11/2016,u,480000,NA,NA,1,NA,NA,NA,2.5,Northern Metropolitan,4019
22/05/2016,u,423500,NA,NA,1,NA,NA,NA,2.5,Northern Metropolitan,4019
